row_hash,status,confidence,n_items,calories,timestamp
217c4b35cfd0,ok,high,2,822,2026-02-18T15:51:10.085916
15268105e30c,ok,high,3,912,2026-02-18T15:51:15.403158
92c6d095f99f,ok,high,1,270,2026-02-18T15:51:18.470903
b73418321e2d,ok,high,6,954,2026-02-18T15:51:28.494380
7b8ce2d1ed3e,ok,high,4,489,2026-02-18T15:51:35.157442
f884818040cf,ok,high,3,686,2026-02-18T15:51:40.640150
d0d6307d440f,ok,high,3,938,2026-02-18T15:51:46.626741
485a6ad560da,ok,high,5,790,2026-02-18T15:51:55.646317
bf8618fda6da,ok,high,3,370,2026-02-18T15:52:01.317295
752c3c4edc54,ok,high,2,510,2026-02-18T15:52:05.172297
84a5f553f5b9,ok,high,4,713,2026-02-18T15:52:12.023054
b8a59ee2f789,ok,high,6,663,2026-02-18T15:52:21.238713
41cb932713cc,ok,high,3,301,2026-02-18T15:52:27.085631
a0acb14ec08f,ok,high,2,160,2026-02-18T15:52:30.964719
391895512b0c,ok,high,3,410,2026-02-18T15:52:36.298236
61ca67301901,ok,high,3,270,2026-02-18T15:52:40.904876
309a7cb0d0b0,ok,high,2,483,2026-02-18T15:52:45.445427
3858444fa0b4,ok,high,2,145,2026-02-18T15:52:49.886276
02a7818cce43,ok,high,2,250,2026-02-18T15:52:53.750220
ddb46d041cc5,ok,high,2,504,2026-02-18T15:52:57.778319
e9f62b2eae05,ok,high,1,154,2026-02-18T15:53:00.741729
ba460c2207da,ok,high,3,655,2026-02-18T15:53:06.744122
b4c6ea91ed79,ok,high,1,62,2026-02-18T15:53:09.742895
eb1768256896,ok,high,1,105,2026-02-18T15:53:12.719695
08048559c1a7,ok,high,2,388,2026-02-18T15:53:16.721712
fdaf8b65fe8f,ok,high,1,548,2026-02-18T15:53:20.277199
bdae0c033f34,ok,high,2,223,2026-02-18T15:53:25.248313
99c6d001b1b9,ok,high,2,253,2026-02-18T15:53:29.052525
f570adc41d63,ok,none,0,0,2026-02-18T15:53:40.137214
605a3dfc2c20,ok,high,2,180,2026-02-18T15:53:44.106086
06391afb3721,ok,high,2,253,2026-02-18T15:53:48.662965
cd79932cb47a,ok,high,4,434,2026-02-18T15:53:55.446057
851c76e49243,ok,high,4,393,2026-02-18T15:54:01.159047
c89599fd1f33,ok,high,2,360,2026-02-18T15:54:06.239606
efb5230a7733,ok,high,4,1148,2026-02-18T15:54:12.159240
8d27c58de00f,ok,high,2,160,2026-02-18T15:54:16.628965
4e7a3caf8a78,ok,high,3,986,2026-02-18T15:54:21.674583
4549d51d0318,ok,high,1,23,2026-02-18T15:54:24.634948
2e41eedb1089,ok,high,1,140,2026-02-18T15:54:28.676190
7b98b2f26de9,ok,high,2,468,2026-02-18T15:54:33.538804
175db4d440e6,ok,high,6,654,2026-02-18T15:54:42.114054
74a5624fbca4,ok,high,6,578,2026-02-18T15:54:51.058294
6dad1db25a28,ok,high,2,554,2026-02-18T15:54:55.530344
48c75b557df8,ok,high,1,105,2026-02-18T15:54:59.154735
9953261164b9,ok,high,2,271,2026-02-18T15:55:03.751735
77c001a450e6,ok,high,6,568,2026-02-18T15:55:12.774719
4efbc927f309,ok,high,2,259,2026-02-18T15:55:17.322739
