row_idx,date,original_text,n_items,n_matched,n_unmatched,matches
0,2016-06-14,2 cups of vannila ice cream; 1 cup of chocolate chip ice cream 2 cups of vannila ice cream; 1 cup of chocolate chip ice cream,1,1,0,"[{""item"": ""vannila ice cream; 1 cup of chocolate chip ice cream 2 cups of vannila ice cream; 1 cup of chocolate chip ice cream"", ""usda_match"": ""Ice cream sandwich"", ""score"": 0.455, ""portion_g"": 240.0}]"
1,2016-06-15,2 slices of white bread; 1 cup of chinchin; 2 cups of mixed mango and pineapple jucie 2 slices of white bread; 1 cup of chinchin; 2 cups of mixed mango and pineapple jucie,1,1,0,"[{""item"": ""white bread; 1 cup of chinchin; 2 cups of mixed mango and pineapple jucie 2 slices of white bread; 1 cup of chinchin; 2 cups of mixed mango and pineapple jucie"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.522, ""portion_g"": 240.0}]"
2,2016-06-15,1/2 cup of chinchin 1/2 cup of chinchin,1,1,0,"[{""item"": ""1/2 cup of chinchin 1/2 cup of chinchin"", ""usda_match"": ""Wheat flour, whole-grain, soft wheat"", ""score"": 0.266, ""portion_g"": 480.0}]"
3,2016-06-15,"2 cupd of white rice, 1 cup of cooked beans, 1 cup of melon soup with chard and collard, 2 oz of lamb, 1/2 oz of beef; half stub of plantain - fried. 2 cupd of white rice, 1 cup of cooked beans, 1 cup of melon soup with chard and collard, 2 oz of lam",1,1,0,"[{""item"": ""cupd of white rice, 1 cup of cooked beans, 1 cup of melon soup with chard and collard, 2 oz of lamb, 1/2 oz of beef; half stub of plantain - fried. 2 cupd of white rice, 1 cup of cooked beans, 1 cup of melon soup with chard and collard, 2 oz of lamb, 1/2 oz of beef; half stub of plantain - fried"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.413, ""portion_g"": 240.0}]"
4,2016-06-15,"1/2 cup of chinchin; 2 cups of fruit -- grape, grape fruit and strawberry 1/2 cup of chinchin; 2 cups of fruit -- grape, grape fruit and strawberry",1,1,0,"[{""item"": ""1/2 cup of chinchin; 2 cups of fruit -- grape, grape fruit and strawberry 1/2 cup of chinchin; 2 cups of fruit -- grape, grape fruit and strawberry"", ""usda_match"": ""Babyfood, fruit, banana and strawberry, junior"", ""score"": 0.202, ""portion_g"": 480.0}]"
5,2016-06-20,"1 cup of white rice + 1 cup of melon soup, replace chicken with beef and lamb; 2 cups of pineapple juice 1 cup of white rice + 1 cup of melon soup, replace chicken with beef and lamb; 2 cups of pineapple juice",6,6,0,"[{""item"": ""white rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""melon soup"", ""usda_match"": ""Melon, banana (Navajo)"", ""score"": 0.342, ""portion_g"": 200}, {""item"": ""replace chicken with beef and lamb; 2 cups of pineapple juice 1 cup of white rice"", ""usda_match"": ""Cranberry juice, unsweetened"", ""score"": 0.252, ""portion_g"": 480.0}, {""item"": ""melon soup"", ""usda_match"": ""Melon, banana (Navajo)"", ""score"": 0.342, ""portion_g"": 200}, {""item"": ""replace chicken with beef"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.36, ""portion_g"": 120}, {""item"": ""lamb; 2 cups of pineapple juice"", ""usda_match"": ""Cranberry juice, unsweetened"", ""score"": 0.406, ""portion_g"": 480.0}]"
6,2016-06-20,"1 cup of garri made into eba+2 cups of melon soup which includes chard,fish,chicken; 1 cup of pineapple juice 1 cup of garri made into eba+2 cups of melon soup which includes chard,fish,chicken; 1 cup of pineapple juice",7,7,0,"[{""item"": ""garri made into eba"", ""usda_match"": ""Cassava, raw"", ""score"": 0.33, ""portion_g"": 50}, {""item"": ""melon soup which includes chard"", ""usda_match"": ""Chard, swiss, raw"", ""score"": 0.277, ""portion_g"": 200}, {""item"": ""fish"", ""usda_match"": ""Fish, whitefish, mixed species, cooked, dry heat"", ""score"": 0.741, ""portion_g"": 120}, {""item"": ""chicken; 1 cup of pineapple juice 1 cup of garri made into eba"", ""usda_match"": ""Cranberry juice, unsweetened"", ""score"": 0.29, ""portion_g"": 240.0}, {""item"": ""melon soup which includes chard"", ""usda_match"": ""Chard, swiss, raw"", ""score"": 0.277, ""portion_g"": 200}, {""item"": ""fish"", ""usda_match"": ""Fish, whitefish, mixed species, cooked, dry heat"", ""score"": 0.741, ""portion_g"": 120}, {""item"": ""chicken; 1 cup of pineapple juice"", ""usda_match"": ""Cranberry juice, unsweetened"", ""score"": 0.408, ""portion_g"": 240.0}]"
7,2016-06-21,"1 meat pie, I boiled egg, I cup of probiotic, I serving of yoghurt, I cup of coffee+1teasponful white sugar+1/2 cup of milk 1 meat pie, I boiled egg, I cup of probiotic, I serving of yoghurt, I cup of coffee+1teasponful white sugar+1/2 cup of milk",13,13,0,"[{""item"": ""meat pie"", ""usda_match"": ""Danish pastry, cheese"", ""score"": 0.254, ""portion_g"": 150.0}, {""item"": ""I boiled egg"", ""usda_match"": ""Egg, whole, cooked, hard-boiled"", ""score"": 0.626, ""portion_g"": 50}, {""item"": ""I cup of probiotic"", ""usda_match"": ""Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"", ""score"": 0.222, ""portion_g"": 150.0}, {""item"": ""I serving of yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.896, ""portion_g"": 170}, {""item"": ""I cup of coffee"", ""usda_match"": ""Beverages, coffee, brewed, breakfast blend"", ""score"": 0.362, ""portion_g"": 240}, {""item"": ""1teasponful white sugar"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.652, ""portion_g"": 240}, {""item"": ""1/2 cup of milk 1 meat pie"", ""usda_match"": ""Danish pastry, cheese"", ""score"": 0.182, ""portion_g"": 480.0}, {""item"": ""I boiled egg"", ""usda_match"": ""Egg, whole, cooked, hard-boiled"", ""score"": 0.626, ""portion_g"": 50}, {""item"": ""I cup of probiotic"", ""usda_match"": ""Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"", ""score"": 0.222, ""portion_g"": 150.0}, {""item"": ""I serving of yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.896, ""portion_g"": 170}, {""item"": ""I cup of coffee"", ""usda_match"": ""Beverages, coffee, brewed, breakfast blend"", ""score"": 0.362, ""portion_g"": 240}, {""item"": ""1teasponful white sugar"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.652, ""portion_g"": 240}, {""item"": ""1/2 cup of milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.473, ""portion_g"": 480.0}]"
8,2016-06-30,4 slices of white sheppard bread(Trader Joes) + butter + 1 cup of green tea. 4 slices of white sheppard bread(Trader Joes) + butter + 1 cup of green tea.,5,5,0,"[{""item"": ""white sheppard bread"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.782, ""portion_g"": 60}, {""item"": ""butter"", ""usda_match"": ""Pretzels, soft, unsalted"", ""score"": 0.277, ""portion_g"": 14}, {""item"": ""green tea. 4 slices of white sheppard bread"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.676, ""portion_g"": 120.0}, {""item"": ""butter"", ""usda_match"": ""Pretzels, soft, unsalted"", ""score"": 0.277, ""portion_g"": 14}, {""item"": ""green tea"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.755, ""portion_g"": 240}]"
9,2016-06-30,1 cup of kefir yoghurt; FreeBird Turkey Sandwitch 1 cup of kefir yoghurt; FreeBird Turkey Sandwitch,1,1,0,"[{""item"": ""kefir yoghurt; FreeBird Turkey Sandwitch 1 cup of kefir yoghurt; FreeBird Turkey Sandwitch"", ""usda_match"": ""Bread, wheat"", ""score"": 0.581, ""portion_g"": 240.0}]"
