fdc_id,energy_kcal,energy_kj,protein_g,total_fat_g,carbohydrate_g,water_g,ash_g,alcohol_g,fiber_total_g,sugars_total_g,starch_g,sucrose_g,glucose_g,fructose_g,lactose_g,maltose_g,galactose_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,fluoride_ug,manganese_mg,selenium_ug,vitamin_a_rae_ug,vitamin_a_iu,retinol_ug,beta_carotene_ug,alpha_carotene_ug,vitamin_e_mg,vitamin_d_ug,vitamin_d_iu,vitamin_d2_ug,vitamin_d3_ug,vitamin_k_phylloquinone_ug,vitamin_k_menaquinone4_ug,vitamin_k_dihydrophylloquinone_ug,vitamin_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_total_ug,folic_acid_ug,folate_food_ug,folate_dfe_ug,vitamin_b12_ug,choline_total_mg,betaine_mg,cryptoxanthin_beta_ug,lycopene_ug,lutein_zeaxanthin_ug,tocopherol_beta_mg,tocopherol_gamma_mg,tocopherol_delta_mg,tocotrienol_alpha_mg,tocotrienol_beta_mg,tocotrienol_gamma_mg,tocotrienol_delta_mg,cholesterol_mg,fatty_acids_saturated_g,fatty_acids_monounsaturated_g,fatty_acids_polyunsaturated_g,fatty_acids_trans_g,ala_18_3n3_g,epa_20_5n3_g,dha_22_6n3_g,dpa_22_5n3_g,linoleic_18_2_g,arachidonic_20_4_g,linolenic_18_3_g,sfa_4_0_g,sfa_6_0_g,sfa_8_0_g,sfa_10_0_g,sfa_12_0_g,sfa_14_0_g,sfa_16_0_g,sfa_18_0_g,sfa_20_0_g,sfa_22_0_g,sfa_15_0_g,sfa_17_0_g,sfa_24_0_g,mufa_18_1_g,mufa_16_1_g,mufa_20_1_g,mufa_14_1_g,mufa_22_1_g,pufa_18_4_g,pufa_18_3n6_g,trans_monoenoic_g,tfa_18_1t_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g,alanine_g,aspartic_acid_g,glutamic_acid_g,glycine_g,proline_g,serine_g,hydroxyproline_g,phytosterols_mg,caffeine_mg,theobromine_mg,description,food_category_id,gram_weight
167512,307.0,1286.0,5.88,13.24,41.18,35.5,3.5,,1.2,5.88,,,,,,,,,2.12,,,,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.941,,,4.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,34.0
167513,330.0,1381.0,4.34,11.27,53.42,27.86,3.08,,1.4,21.34,,,,,,,,28.0,1.93,,,,780.0,,,,,,0.0,1.0,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,3.25,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,44.0
167514,377.0,1577.0,6.1,3.7,79.8,3.2,7.2,,,,,,,,,,,,,,,,2182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,28.0
167515,232.0,972.0,8.0,1.8,46.0,42.6,1.6,,,,,,,,,,,180.0,1.4,,,,345.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,0.308,0.303,0.92,0.082,,,,,0.841,,0.079,,,,,,,0.308,,,,,,,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"George Weston Bakeries, Thomas English Muffins",18,57.0
167516,273.0,1144.0,6.58,9.22,41.05,40.34,2.81,0.0,2.2,4.3,35.51,2.67,0.0,0.0,1.35,0.29,0.0,279.0,6.04,19.0,388.0,126.0,621.0,0.48,0.04,,0.215,9.5,401.0,1340.0,401.0,2.0,0.0,0.62,,,,,10.5,,17.9,0.0,0.499,0.665,6.675,0.24,0.972,63.0,49.0,14.0,96.0,2.86,,,2.0,0.0,63.0,0.07,4.03,1.27,0.03,0.0,0.0,0.0,15.0,1.898,4.53,1.445,,,0.012,0.007,0.0,1.414,0.009,0.0,0.005,0.003,0.0,0.0,0.0,0.021,1.025,0.772,0.031,0.03,0.0,0.01,,4.469,0.022,0.039,0.0,0.0,0.002,0.0,,,0.074,0.225,0.281,0.489,0.296,0.133,0.154,0.304,0.154,0.326,0.282,0.143,0.249,0.406,1.614,0.214,0.559,0.347,,,0.0,0.0,"Waffles, buttermilk, frozen, ready-to-heat",18,39.0
167517,309.0,1291.0,7.42,9.49,48.39,31.57,3.13,0.0,2.6,4.41,39.7,2.85,0.05,0.0,1.35,0.17,0.0,299.0,6.59,22.0,444.0,138.0,710.0,0.48,0.037,,0.223,10.3,438.0,1463.0,437.0,2.0,0.0,0.68,0.0,0.0,,,12.5,,16.9,0.0,0.563,0.648,7.942,0.217,1.11,68.0,55.0,13.0,107.0,1.62,28.1,,2.0,0.0,66.0,0.09,4.62,1.51,0.01,0.0,0.0,0.0,13.0,2.275,5.292,1.502,,,0.013,0.008,0.0,1.396,0.004,0.099,0.005,0.003,0.0,0.0,0.0,0.027,1.202,0.967,0.031,0.036,0.0,0.013,,5.23,0.022,0.04,0.0,0.0,0.003,0.003,,,0.082,0.25,0.312,0.544,0.329,0.148,0.172,0.337,0.172,0.362,0.314,0.159,0.276,0.451,1.793,0.237,0.621,0.385,,,0.0,0.0,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,28.0
167518,289.0,1209.0,6.92,9.4,44.16,36.48,3.04,,2.4,4.5,38.55,2.77,0.0,0.0,1.39,0.34,0.0,125.0,6.53,20.0,410.0,110.0,663.0,0.58,0.063,,0.235,10.1,429.0,1430.0,429.0,,,0.63,,,,,10.8,,20.8,0.0,0.576,0.695,6.73,0.24,1.105,64.0,50.0,14.0,99.0,2.44,,,,,,0.08,4.21,1.33,0.0,0.0,0.0,0.0,16.0,2.057,4.864,1.615,,,,,,1.482,0.005,0.123,,,0.0,0.0,0.0,0.023,1.112,0.843,0.032,0.035,0.0,0.011,,4.797,0.024,0.043,0.0,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,35.0
167519,298.0,1245.0,6.71,9.91,45.41,34.95,3.02,,2.4,5.04,38.63,3.31,0.0,0.0,1.46,0.28,0.0,197.0,5.81,25.0,410.0,148.0,682.0,0.45,0.038,,0.154,12.8,,,,,,0.95,,,,,8.1,,23.0,,0.544,0.655,7.785,0.325,1.016,67.0,56.0,11.0,106.0,2.18,,,,,,0.07,4.52,1.18,0.0,0.0,0.0,0.0,16.0,1.58,5.195,2.24,,,,,,1.856,0.005,0.371,,,0.0,0.0,0.0,0.012,0.909,0.576,0.042,0.035,0.0,0.005,,5.099,0.026,0.07,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"Waffle, plain, frozen, ready-to-heat, microwave",18,32.0
167520,501.0,2097.0,5.1,24.83,64.3,4.37,1.39,0.0,1.9,18.13,35.87,18.13,0.0,0.0,0.0,0.0,,29.0,2.6,23.0,117.0,113.0,471.0,1.25,0.223,,1.287,2.6,0.0,1.0,0.0,0.0,0.0,1.85,0.0,0.0,,,21.8,,,0.0,0.184,0.213,3.22,0.178,0.076,65.0,46.0,19.0,97.0,0.0,17.7,38.8,0.0,0.0,23.0,,,,,,,,0.0,4.999,16.928,1.671,,,0.0,0.0,0.0,1.611,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,2.775,1.974,0.096,0.102,0.001,0.031,,16.884,0.011,0.034,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,28.35
167521,484.0,2025.0,6.08,22.42,64.48,4.99,2.03,0.0,2.7,26.31,34.67,19.47,0.0,0.0,0.0,0.0,,32.0,4.3,40.0,120.0,187.0,503.0,2.1,0.77,,1.833,2.5,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,,,18.2,0.6,64.1,0.0,0.336,0.265,3.073,0.168,0.043,72.0,50.0,22.0,108.0,0.0,16.4,21.3,0.0,0.0,12.0,0.17,11.79,3.49,0.04,0.0,0.0,0.0,0.0,4.725,14.482,2.035,0.0,,0.0,0.0,0.0,1.972,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.023,2.587,1.912,0.088,0.086,0.001,0.028,,14.433,0.019,0.029,,0.0,0.0,,,,0.08,0.205,0.225,0.382,0.245,0.073,0.108,0.277,0.164,0.316,0.29,0.112,0.238,0.454,1.318,0.243,0.419,0.26,,,8.0,100.0,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,182.0
